id,Original_id,Sel_r,Sel_g,Sel_b,sex,Ori_r,Ori_g,Ori_b,Sel_hue,Sel_sat,Sel_bri,Ori_hue,Ori_sat,Ori_bri,Bri_sub,bri_sub_order,Sat_sub,sat_sub_order
0,3,253.99638,250.26474,228.55716,2,227.55093,192.87761,172.91933,37.399998,25.197628,253,15.454546,61.78414,227,-26,40,36.586512,184
1,4,243.62749,207.95166,194.65265,2,213.2511,162.94913,154.9219,11.27551,51.419754,243,5.7627125,70.633804,213,-30,30,19.21405,175
2,5,224.20003,176.60986,162.14294,1,214.32095,163.36305,150.81024,9.596775,70.58035,224,8.6328125,76.26168,214,-10,105,5.68133,132
3,6,195.27277,143.66383,137.76451,1,193.89748,134.24739,125.784355,4.3965516,75.84615,195,5.625,89.84456,193,-2,131,13.99841,168
4,7,231.81944,164.50525,145.91882,2,235.0095,188.05554,174.45738,9.389535,94.93507,231,9.7541,66.19149,235,4,150,-28.74358,10
5,8,217.6394,167.43604,171.59236,1,233.34235,192.27863,185.68898,251.6,58.75576,217,6.197916,52.53219,233,16,168,-6.22357,62
6,9,249.24521,215.28342,225.39145,1,238.63583,203.78712,208.64987,242.50002,34.819275,249,248.92856,37.5,238,-11,99,2.680725,114
7,12,246.11885,188.41577,188.01334,2,237.47989,206.45639,199.7917,0,60.121952,246,7.828948,40.886074,237,-9,108,-19.235878,27
8,13,202.46718,132.14136,137.21904,1,218.32828,163.6524,160.25061,251.96428,88.36633,202,2.1982758,67.84404,218,16,169,-20.52229,23
9,14,253.54364,222.83159,207.99435,1,207.57784,167.34416,162.49492,13.858695,46.363636,253,4.722222,55.43478,207,-46,6,9.071144,149
10,15,231.7051,171.36966,180.72798,1,235.11244,193.57814,193.66637,248.625,66.233765,231,0,45.57447,235,4,151,-20.659295,22
11,16,247.94106,186.4939,184.03455,2,235.54686,196.76088,187.35025,1.3492063,65.04049,247,7.96875,52.085106,235,-12,96,-12.955384,41
12,17,193.07101,130.99693,121.5265,2,229.43779,197.56311,181.19519,5.3125,95.12954,193,14.166666,53.449783,229,36,182,-41.679757,1
13,18,254.34468,254.2731,251.89818,2,243.6044,210.8068,198.82907,42.5,3.011811,254,11.333333,47.22222,243,-11,100,44.210409,186
14,19,246.6567,202.39655,202.9278,2,238.48526,212.96115,213.48,0,45.609753,246,253.36539,27.857143,238,-8,116,-17.75261,30
15,20,222.99321,162.55162,171.60757,1,228.24551,183.2849,189.79517,248.625,68.918915,222,249.33333,50.32895,228,6,156,-18.589965,29
16,21,250.05952,234.52313,229.18692,2,237.58931,211.45985,195.83766,10.119047,21.42,250,16.190475,45.189873,237,-13,93,23.769873,179
17,22,215.87381,161.58917,153.37512,1,211.20929,157.95451,148.54044,5.483871,73.53488,215,6.0714283,76.13744,211,-4,126,2.60256,112
18,23,204.17455,133.98698,123.118645,2,228.23889,183.88574,171.80418,5.246913,101.25,204,8.947368,63.75,228,24,177,-37.5,3
19,24,228.07266,166.95245,154.15106,1,227.74207,180.3502,169.89857,6.891893,82.76316,228,8.060345,65.15418,227,-1,133,-17.60898,32
20,25,242.93425,189.8158,195.65146,2,233.50702,202.22318,202.57068,250.18869,55.847107,242,0,33.927036,233,-9,109,-21.920071,19
21,27,244.2815,177.69292,175.55708,2,203.62846,142.88377,137.51991,1.2318838,72.11066,244,3.2196965,82.9064,203,-41,9,10.79574,162
22,28,210.74191,143.78102,129.64282,1,187.85382,133.43582,121.89365,7.3456798,98.35715,210,7.727273,90,187,-23,51,-8.35715,54
23,29,220.7576,152.39589,142.28789,1,218.05267,182.1519,173.92961,5.4487176,90.40909,220,8.499999,52.637615,218,-2,132,-37.771475,2
24,30,207.32443,151.20895,140.65816,2,226.62141,193.1376,183.51823,6.977611,82.53623,207,9.883721,48.5177,226,19,172,-34.01853,5
25,31,253.25851,223.34491,225.75327,2,232.0513,185.4617,186.35287,252.16666,30.237154,253,254.09573,51.65948,232,-21,59,21.422326,177
26,32,203.97688,134.92784,143.15698,1,234.7886,176.95273,185.32294,249.45653,86.67487,203,248.40517,63.205128,234,31,180,-23.469742,17
27,34,203.20572,149.6129,138.49538,2,178.76079,132.30772,121.493965,7.1923075,81.650246,203,8.201754,81.65731,178,-25,44,0.007064,94
28,35,241.68333,165.53783,162.5437,2,224.24637,170.21513,165.20755,1.613923,83.58921,241,3.6016948,67.165184,224,-17,73,-16.424026,34
29,36,168.30708,111.49803,98.21063,1,209.22878,153.99379,142.69096,7.892858,106.25,168,6.977611,81.746414,209,41,185,-24.503586,15
30,37,217.08807,161.99702,161.16742,1,221.32939,179.82019,180.00569,0,65.80645,217,253.9881,48.46154,221,4,152,-17.34491,33
31,39,231.38399,166.74965,152.42406,2,225.7078,187.48941,170.73732,7.5316467,87.207794,231,13.136363,62.333332,225,-6,119,-24.874462,13
32,40,253.72842,221.79218,215.21834,1,221.03902,159.40132,161.55823,6.710526,38.300396,253,253.62903,71.53847,221,-32,23,33.238074,183
33,41,252.00443,205.19386,209.30011,2,216.5886,179.19838,180.61174,251.38298,47.559525,252,253.85135,43.680557,216,-36,16,-3.878968,72
34,42,248.054,182.8364,176.87059,2,233.58795,195.74904,188.48401,3.5416658,74.03226,248,6.6111107,49.248924,233,-15,82,-24.783336,14
35,43,251.258,239.134,230.634,2,196.61394,157.78355,147.66005,18.214285,21.334661,251,8.6734705,63.75,196,-55,4,42.415339,185
36,44,236.20987,164.4779,159.56226,1,226.33553,164.34949,155.35428,2.7597413,83.19915,236,5.387323,80.11063,226,-10,106,-3.08852,76
37,45,200.47807,137.49893,128.85074,1,227.2646,176.68661,169.8297,5.3125,91.8,200,5.129309,65.15418,227,27,179,-26.64582,11
38,46,253.08217,203.02744,196.10886,2,224.49878,166.89609,158.69554,5.219299,57.450592,253,5.151515,75.133934,224,-29,33,17.683342,172
